timestamp,altitude,course,horizontalAccuracy,latitude,longitude,rawSpeed
2013-12-22 19:35:36.676 +0000,240,177.309464,5,42.440718,-85.866454,28.798855
2013-12-22 19:35:37.683 +0000,240,177.309464,5,42.440448,-85.86644,28.910854
2013-12-22 19:35:38.747 +0000,240,177.309464,5,42.440182,-85.866398,29.142076
2013-12-22 19:35:40.671 +0000,240,177.309464,5,42.439685,-85.866333,28.597675
2013-12-22 19:35:41.725 +0000,239,177.465958,5,42.439415,-85.866309,28.553459
2013-12-22 19:35:43.706 +0000,238,177.465958,5,42.438904,-85.866288,28.659376
2013-12-22 19:35:45.688 +0000,238,177.722397,5,42.4384,-85.86626,28.193886
2013-12-22 19:35:46.736 +0000,237,177.722397,5,42.438152,-85.866257,28.171741
2013-12-22 19:35:48.677 +0000,237,177.952728,5,42.437654,-85.866237,27.613407
2013-12-22 19:35:50.762 +0000,234,177.952728,5,42.43719,-85.866194,26.947014
2013-12-22 19:35:51.878 +0000,234,177.952728,5,42.436958,-85.866186,26.518377
2013-12-22 19:35:53.825 +0000,233,178.175003,5,42.436535,-85.866158,24.971333
2013-12-22 19:35:55.864 +0000,233,178.175003,10,42.436119,-85.866126,23.96158
2013-12-22 19:35:56.877 +0000,232,178.175003,5,42.435944,-85.866138,23.921871
2013-12-22 19:35:58.718 +0000,231,178.410446,5,42.435597,-85.866154,21.744606
2013-12-22 19:35:59.918 +0000,230,178.410446,5,42.43543,-85.866155,19.878736
2013-12-22 19:36:01.710 +0000,229,178.410446,5,42.435142,-85.866143,17.83857
2013-12-22 19:36:03.884 +0000,229,178.410446,5,42.434883,-85.866123,15.26208
2013-12-22 19:36:05.744 +0000,228,178.410446,5,42.434643,-85.866133,14.492558
2013-12-22 19:36:07.845 +0000,229,178.725327,5,42.434352,-85.866126,14.840508
2013-12-22 19:36:09.728 +0000,227,178.725327,5,42.434011,-85.866098,17.418858
2013-12-22 19:36:10.761 +0000,226,178.725327,5,42.433849,-85.866086,17.531075
2013-12-22 19:36:12.689 +0000,226,178.725327,5,42.433512,-85.866076,18.328943
2013-12-22 19:36:13.700 +0000,225,178.725327,5,42.433319,-85.866072,18.530493
2013-12-22 19:36:14.732 +0000,225,178.725327,5,42.433126,-85.866063,19.428444
2013-12-22 19:36:16.680 +0000,223,178.725327,5,42.432714,-85.866006,20.824087
2013-12-22 19:36:17.690 +0000,223,178.725327,5,42.432483,-85.866018,21.058895
2013-12-22 19:36:18.728 +0000,223,178.725327,5,42.432286,-85.866011,22.710564
2013-12-22 19:36:19.773 +0000,222,180,5,42.432065,-85.866018,22.807127
2013-12-22 19:36:21.811 +0000,223,178.945312,5,42.431645,-85.866012,23.499392
2013-12-22 19:36:23.691 +0000,222,178.242188,5,42.43124,-85.865997,22.895765
2013-12-22 19:36:24.695 +0000,223,178.666748,5,42.431055,-85.865978,22.785254
2013-12-22 19:36:26.680 +0000,222,178.666748,5,42.430534,-85.866011,24.189133
2013-12-22 19:36:27.691 +0000,221,178.666748,5,42.43031,-85.866009,24.610931
2013-12-22 19:36:29.674 +0000,220,178.968521,5,42.429868,-85.865958,24.6248
2013-12-22 19:36:30.676 +0000,220,178.968521,5,42.429643,-85.865928,24.065639
2013-12-22 19:36:31.719 +0000,220,178.968521,5,42.429391,-85.865898,24.02334
2013-12-22 19:36:32.732 +0000,220,178.968521,5,42.429138,-85.865916,24.86198
2013-12-22 19:36:34.704 +0000,221,178.731659,5,42.428702,-85.865952,25.986092
2013-12-22 19:36:36.673 +0000,222,176.054825,5,42.428252,-85.865968,25.079744
2013-12-22 19:36:37.690 +0000,220,175.010681,5,42.428073,-85.865959,24.84861
2013-12-22 19:36:38.771 +0000,220,173.41803,5,42.427871,-85.865907,23.958073
2013-12-22 19:36:39.858 +0000,220,171.25383,5,42.42767,-85.865876,23.606693
2013-12-22 19:36:41.696 +0000,219,167.471191,5,42.427265,-85.865814,22.67745
2013-12-22 19:36:42.747 +0000,219,167.471191,5,42.427059,-85.865752,22.670324
2013-12-22 19:36:43.839 +0000,219,165.793259,5,42.426848,-85.865683,22.986147
